age,turnover,travel,department,distance,education,career,employee,id,satisfaction_environment,sex,implicatio,job_level,job,satisfation_job,civil_Status,monthly_salary,num_previous_companies,Older,Extra hours,salary_increase,assessment,satisfaction_colleagues,fortnight_hours,action_level,years_experience,num_formations_last_year,conciliation,years_company,years_in_position,years_since_last_promotion,years_with_current_manager
21,No,Non-Travel,Sales,9,University,Medical,1,484,Low,3,High,1,Sales Representative,High,Single,2610,1,Y,No,24,Very_High,High,80,0,3,3,#N/D,3,NA,2,2
33,Yes,Travel_Rarely,Sales,5,University,Marketing,1,485,Very_High,NA,High,1,Sales Representative,High,Single,2851,1,Y,Yes,13,High,Medium,80,0,1,2,#N/D,1,3,0,0
37,No,Travel_Rarely,Research & Development,10,University,Medical,1,486,High,3,High,1,Laboratory Technician,High,Married,3452,6,Y,No,20,Very_High,Medium,80,1,17,3,High,5,NA,0,3
46,No,Non-Travel,Research & Development,7,University,Medical,1,487,High,NA,High,2,Manufacturing Director,High,Married,5258,2,Y,No,14,High,High,80,0,7,2,High,1,NA,0,0
41,Yes,Travel_Frequently,Sales,4,University,Marketing,1,488,Low,3,High,2,Sales Executive,High,Single,9355,1,Y,No,18,High,High,80,0,8,5,#N/D,8,NA,7,7
50,No,Travel_Rarely,Research & Development,10,Secondary,Technical Degree,1,491,Very_High,2,Medium,3,Healthcare Representative,Medium,Single,10496,6,Y,No,15,High,Very_High,80,0,20,2,#N/D,4,NA,1,3
40,Yes,Travel_Rarely,Sales,22,Secondary,Marketing,1,492,High,NA,Medium,2,Sales Executive,Medium,Married,6380,2,Y,Yes,12,High,Low,80,2,8,6,#N/D,6,NA,1,0
31,No,Travel_Rarely,Research & Development,9,Secondary,Life Sciences,1,493,High,2,Medium,1,Research Scientist,Medium,Single,2657,0,Y,Yes,16,High,Very_High,80,0,3,5,#N/D,2,NA,2,2
21,Yes,Travel_Rarely,Sales,12,Master,Life Sciences,1,494,High,4,Very_High,1,Sales Representative,#N/D,Single,2716,1,Y,No,15,High,Very_High,80,0,1,0,#N/D,1,4,0,0
29,No,Travel_Rarely,Research & Development,23,University,Life Sciences,1,495,Very_High,3,High,1,Research Scientist,High,Single,2201,9,Y,No,16,High,Very_High,80,0,6,4,#N/D,3,NA,1,2
35,No,Travel_Rarely,Research & Development,9,Secondary,Life Sciences,1,496,High,2,Medium,2,Healthcare Representative,Medium,Single,6540,9,Y,No,19,High,High,80,0,10,5,#N/D,1,NA,0,0
27,No,Travel_Rarely,Research & Development,1,University,Medical,1,497,Very_High,3,High,1,Laboratory Technician,High,Divorced,3816,1,Y,No,11,High,Medium,80,1,5,2,#N/D,5,NA,0,4
28,No,Travel_Rarely,Sales,9,University,Life Sciences,1,498,Medium,3,High,2,Sales Executive,High,Single,5253,1,Y,No,16,High,Very_High,80,0,7,1,#N/D,7,NA,0,7
49,No,Travel_Rarely,Research & Development,7,Secondary,Other,1,499,Medium,2,Medium,3,Healthcare Representative,Medium,Single,10965,8,Y,No,24,Very_High,High,80,0,26,2,#N/D,5,NA,0,0
51,No,Travel_Rarely,Sales,14,University,Life Sciences,1,500,High,3,High,2,Sales Executive,High,Married,4936,4,Y,No,11,High,High,80,1,18,2,#N/D,7,NA,0,7
36,No,Travel_Rarely,Research & Development,2,University,Life Sciences,1,501,Very_High,3,High,1,Research Scientist,High,Married,2543,4,Y,No,13,High,Medium,80,1,6,3,High,2,NA,2,2
34,Yes,Non-Travel,Sales,19,Master,Marketing,1,502,Low,4,Very_High,2,Sales Executive,Very_High,Single,5304,8,Y,Yes,13,High,Medium,80,0,9,3,#N/D,5,NA,0,4
55,No,Travel_Rarely,Research & Development,2,University,Life Sciences,1,505,High,3,High,4,Manager,High,Single,16659,2,Y,Yes,13,High,High,80,0,30,2,#N/D,5,NA,1,2
24,No,Travel_Rarely,Sales,10,University,Marketing,1,507,Very_High,3,High,2,Sales Executive,High,Divorced,4260,1,Y,Yes,12,High,Very_High,80,1,5,2,#N/D,5,NA,0,3
30,No,Travel_Rarely,Sales,2,University,Technical Degree,1,508,High,3,High,1,Sales Representative,High,Married,2476,1,Y,No,18,High,Low,80,1,1,3,High,1,3,0,0
26,Yes,Travel_Frequently,Research & Development,3,University,Technical Degree,1,510,High,3,High,1,Research Scientist,High,Single,3102,0,Y,No,22,Very_High,High,80,0,7,2,#N/D,6,NA,0,4
22,No,Travel_Rarely,Research & Development,11,University,Medical,1,511,Low,3,High,1,Research Scientist,High,Married,2244,1,Y,No,13,High,Very_High,80,1,2,1,#N/D,2,NA,1,2
36,No,Travel_Rarely,Sales,2,#N/D,Medical,1,513,Medium,2,Medium,3,Sales Executive,Medium,Married,7596,1,Y,No,13,High,Medium,80,2,10,2,#N/D,10,NA,9,0
30,Yes,Travel_Frequently,Research & Development,4,University,Technical Degree,1,514,High,3,High,1,Research Scientist,High,Single,2285,9,Y,Yes,23,Very_High,High,80,0,3,4,#N/D,1,NA,0,0
37,No,Travel_Rarely,Research & Development,14,University,Life Sciences,1,515,Very_High,NA,High,1,Laboratory Technician,#N/D,Divorced,3034,1,Y,No,12,High,High,80,1,18,2,#N/D,18,3,12,17
40,No,Travel_Rarely,Sales,2,University,Marketing,1,516,Very_High,3,High,2,Sales Executive,High,Divorced,5715,7,Y,No,12,High,High,80,2,8,5,High,5,NA,1,3
42,No,Travel_Rarely,Research & Development,1,University,Life Sciences,1,517,Medium,3,High,1,Laboratory Technician,High,Divorced,2576,3,Y,No,16,High,Medium,80,1,8,5,High,5,NA,1,2
37,No,Travel_Rarely,Research & Development,10,#N/D,Life Sciences,1,518,High,3,High,2,Manufacturing Director,High,Single,4197,2,Y,Yes,12,High,Very_High,80,0,18,2,#N/D,1,NA,0,1
43,No,Travel_Rarely,Research & Development,12,Secondary,Life Sciences,1,520,Low,2,Medium,4,Research Director,Medium,Divorced,14336,1,Y,No,11,High,High,80,1,25,3,#N/D,25,NA,3,9
40,No,Travel_Rarely,Research & Development,2,Secondary,Medical,1,521,Medium,2,Medium,2,Laboratory Technician,#N/D,Married,3448,6,Y,No,22,Very_High,Medium,80,1,20,3,Medium,1,NA,0,0
54,No,Travel_Rarely,Research & Development,5,University,Medical,1,522,Low,NA,High,5,Research Director,High,Married,19406,4,Y,No,11,High,High,80,1,24,4,High,4,NA,1,2
34,No,Non-Travel,Sales,4,University,Marketing,1,523,High,3,High,2,Sales Executive,High,Married,6538,9,Y,No,15,High,Low,80,1,6,3,#N/D,3,NA,1,2
31,No,Travel_Rarely,Research & Development,7,University,Medical,1,524,Medium,NA,High,2,Manufacturing Director,High,Married,4306,1,Y,No,12,High,Medium,80,1,13,5,#N/D,13,NA,3,12
43,No,Travel_Frequently,Research & Development,21,University,Medical,1,525,Very_High,3,High,1,Laboratory Technician,High,Married,2258,7,Y,No,20,Very_High,Low,80,1,8,1,High,3,NA,1,2
43,No,Travel_Rarely,Research & Development,8,University,Other,1,526,High,3,High,2,Healthcare Representative,High,Divorced,4522,4,Y,Yes,14,High,Very_High,80,0,8,3,#N/D,5,NA,0,2
25,No,Travel_Rarely,Sales,4,Secondary,Life Sciences,1,527,Medium,2,Medium,2,Sales Executive,Medium,Single,4487,1,Y,Yes,11,High,Medium,80,0,5,3,#N/D,5,NA,1,3
37,No,Non-Travel,Research & Development,25,University,Medical,1,529,Medium,3,High,2,Research Scientist,High,Married,4449,3,Y,Yes,15,High,Low,80,2,15,2,#N/D,13,NA,10,7
31,No,Travel_Rarely,Research & Development,1,Secondary,Life Sciences,1,530,Very_High,2,Medium,1,Laboratory Technician,Medium,Married,2218,1,Y,No,12,High,High,80,1,4,3,#N/D,4,NA,3,2
39,No,Travel_Frequently,Research & Development,1,University,Life Sciences,1,531,Medium,3,High,5,Manager,High,Divorced,19197,1,Y,Yes,14,High,High,80,1,21,3,#N/D,21,NA,1,6
56,No,Travel_Frequently,Sales,6,Master,Life Sciences,1,532,High,4,Very_High,4,Sales Executive,Very_High,Married,13212,9,Y,No,11,High,Very_High,80,3,36,0,#N/D,7,NA,7,7
30,No,Travel_Rarely,Sales,12,University,Technical Degree,1,533,Medium,3,High,2,Sales Executive,High,Single,6577,0,Y,No,11,High,Medium,80,0,6,6,High,5,3,4,4
41,No,Travel_Rarely,Sales,1,Master,Marketing,1,534,Medium,4,Very_High,3,Sales Executive,#N/D,Married,8392,1,Y,No,16,High,High,80,1,10,2,#N/D,10,NA,0,7
28,No,Travel_Rarely,Research & Development,17,University,Medical,1,536,High,3,High,2,Laboratory Technician,High,Divorced,4558,1,Y,No,12,High,Very_High,80,1,10,2,#N/D,10,NA,1,8
25,Yes,Travel_Rarely,Research & Development,3,University,Medical,1,538,Low,3,High,1,Laboratory Technician,High,Married,4031,5,Y,No,13,High,High,80,1,6,5,High,2,3,0,2
52,No,Travel_Rarely,Research & Development,3,Secondary,Medical,1,543,Very_High,2,Medium,3,Manufacturing Director,Medium,Married,7969,2,Y,Yes,14,High,High,80,0,28,4,#N/D,5,NA,0,4
45,No,Travel_Rarely,Research & Development,10,University,Life Sciences,1,544,Low,3,High,1,Research Scientist,High,Married,2654,3,Y,No,21,Very_High,Very_High,80,2,8,3,#N/D,2,NA,0,2
52,No,Travel_Rarely,Research & Development,4,University,Life Sciences,1,546,Very_High,3,High,4,Manager,High,Married,16555,2,Y,No,13,High,Very_High,80,0,31,2,#N/D,5,NA,1,4
42,No,Travel_Frequently,Research & Development,29,University,Life Sciences,1,547,Low,3,High,2,Research Scientist,High,Divorced,4556,2,Y,No,11,High,Medium,80,1,19,3,#N/D,5,NA,0,2
30,No,Travel_Rarely,Research & Development,2,Primaria,Life Sciences,1,548,High,1,Low,2,Manufacturing Director,Low,Single,6091,2,Y,No,20,Very_High,High,80,0,11,2,Low,5,NA,0,2
60,No,Travel_Rarely,Research & Development,7,University,Life Sciences,1,549,Low,3,High,5,Manager,High,Married,19566,5,Y,No,11,High,Very_High,80,0,33,5,High,29,3,11,10
46,No,Travel_Rarely,Research & Development,18,University,Medical,1,550,High,3,High,2,Manufacturing Director,High,Divorced,4810,2,Y,No,14,High,High,80,1,19,5,#N/D,10,NA,0,8
42,No,Travel_Frequently,Research & Development,28,#N/D,Technical Degree,1,551,Very_High,NA,#N/D,2,Healthcare Representative,#N/D,Married,4523,0,Y,No,11,High,Very_High,80,3,7,4,#N/D,6,NA,0,4
24,Yes,Travel_Rarely,Sales,1,University,Technical Degree,1,554,Low,3,High,1,Sales Representative,High,Single,3202,1,Y,Yes,16,High,Medium,80,0,6,4,#N/D,5,NA,1,4
34,Yes,Travel_Frequently,Sales,6,Primaria,Marketing,1,555,Very_High,1,Low,1,Sales Representative,Low,Divorced,2351,0,Y,No,16,High,Very_High,80,1,3,3,Low,2,NA,1,0
38,No,Travel_Frequently,Research & Development,2,#N/D,Life Sciences,1,556,Very_High,3,High,1,Laboratory Technician,High,Married,1702,1,Y,Yes,23,Very_High,High,80,1,1,3,#N/D,1,NA,0,0
40,No,Travel_Rarely,Sales,2,University,Life Sciences,1,558,High,3,High,5,Manager,High,Married,18041,0,Y,No,14,High,Very_High,80,0,21,2,#N/D,20,3,1,12
26,No,Travel_Rarely,Research & Development,23,University,Life Sciences,1,560,Low,3,High,1,Research Scientist,High,Divorced,2886,1,Y,No,22,Very_High,Medium,80,2,3,3,High,3,NA,0,2
30,No,Non-Travel,Research & Development,3,University,Life Sciences,1,562,High,3,High,1,Laboratory Technician,High,Married,2097,4,Y,No,15,High,High,80,1,9,3,#N/D,5,NA,1,4
29,No,Travel_Rarely,Research & Development,3,Secondary,Medical,1,564,Medium,2,Medium,3,Research Director,Medium,Married,11935,1,Y,No,18,High,High,80,0,10,2,#N/D,10,NA,0,7
29,Yes,Travel_Rarely,Research & Development,25,Secondary,Technical Degree,1,565,High,2,Medium,1,Research Scientist,Medium,Married,2546,5,Y,No,16,High,Medium,80,0,6,2,#N/D,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,Secondary,Technical Degree,1,566,Low,2,Medium,1,Human Resources,Medium,Single,2564,1,Y,No,12,High,High,80,0,1,3,Medium,1,NA,0,0
30,No,Non-Travel,Sales,22,University,Other,1,567,High,3,High,3,Sales Executive,High,Married,8412,0,Y,No,11,High,High,80,0,10,3,#N/D,9,NA,7,8
57,No,Travel_Rarely,Sales,29,Secondary,Marketing,1,568,Low,2,Medium,4,Manager,Medium,Divorced,14118,3,Y,No,12,High,High,80,1,32,3,#N/D,1,NA,0,0
50,No,Travel_Rarely,Research & Development,29,Secondary,Life Sciences,1,569,Medium,2,Medium,4,Manager,Medium,Married,17046,0,Y,No,15,High,Medium,80,1,28,2,#N/D,27,NA,15,7
30,No,Non-Travel,Research & Development,2,University,Medical,1,571,High,NA,High,1,Laboratory Technician,High,Single,2564,0,Y,No,14,High,High,80,0,12,2,#N/D,11,NA,6,7
60,No,Travel_Frequently,Sales,28,Secondary,Marketing,1,573,High,2,Medium,3,Sales Executive,Medium,Married,10266,4,Y,No,19,High,Very_High,80,0,22,5,Medium,18,NA,13,11
47,No,Travel_Rarely,Research & Development,2,#N/D,Medical,1,574,Low,3,High,2,Manufacturing Director,High,Divorced,5070,5,Y,No,13,High,High,80,3,20,2,#N/D,5,NA,0,4
46,No,Travel_Rarely,Research & Development,2,University,Life Sciences,1,575,Low,3,High,4,Research Director,High,Married,17861,6,Y,No,13,High,High,80,0,26,2,#N/D,3,NA,0,1
35,No,Travel_Rarely,Research & Development,22,Primaria,Life Sciences,1,577,Very_High,1,Low,1,Laboratory Technician,#N/D,Single,4230,0,Y,No,15,High,High,80,0,6,2,Low,5,1,4,3
54,No,Travel_Rarely,Research & Development,8,University,Life Sciences,1,578,High,3,High,2,Laboratory Technician,High,Single,3780,7,Y,No,11,High,High,80,0,19,3,#N/D,1,NA,0,0
34,No,Travel_Rarely,Research & Development,2,Secondary,Life Sciences,1,579,Very_High,2,Medium,1,Research Scientist,Medium,Divorced,2768,3,Y,No,12,High,High,80,1,14,3,#N/D,7,NA,5,7
46,No,Travel_Rarely,Sales,10,Secondary,Marketing,1,580,High,2,Medium,3,Sales Executive,Medium,Married,9071,2,Y,Yes,19,High,High,80,1,15,3,Medium,3,NA,1,2
31,No,Travel_Rarely,Research & Development,9,University,Life Sciences,1,581,High,3,High,3,Manufacturing Director,High,Divorced,10648,1,Y,No,25,Very_High,Very_High,80,1,13,6,#N/D,13,3,0,8
33,Yes,Travel_Rarely,Research & Development,15,University,Medical,1,582,Medium,3,High,3,Manager,High,Married,13610,7,Y,Yes,12,High,Very_High,80,0,15,2,#N/D,7,NA,7,7
33,Yes,Travel_Rarely,Research & Development,10,Primaria,Medical,1,584,Low,1,Low,1,Laboratory Technician,Low,Divorced,3408,7,Y,No,13,High,Low,80,3,8,2,Low,4,NA,1,3
30,No,Travel_Rarely,Sales,7,University,Marketing,1,585,Very_High,3,High,1,Sales Representative,High,Single,2983,0,Y,No,14,High,Low,80,0,4,3,#N/D,3,NA,1,2
35,No,Travel_Rarely,Research & Development,16,University,Life Sciences,1,586,Very_High,3,High,3,Healthcare Representative,High,Married,7632,4,Y,Yes,12,High,High,80,0,10,2,High,8,NA,0,0
31,Yes,Travel_Frequently,Research & Development,20,University,Life Sciences,1,587,Low,3,High,3,Healthcare Representative,High,Married,9824,3,Y,No,12,High,Low,80,0,12,2,#N/D,1,NA,0,0
34,Yes,Travel_Frequently,Human Resources,23,University,Human Resources,1,590,Medium,3,High,3,Human Resources,High,Divorced,9950,9,Y,Yes,15,High,High,80,3,11,2,High,3,NA,0,2
42,No,Travel_Frequently,Research & Development,5,University,Other,1,591,Medium,3,High,1,Laboratory Technician,High,Married,2093,4,Y,No,17,High,Very_High,80,1,8,4,High,2,NA,2,0
36,No,Non-Travel,Sales,10,University,Medical,1,592,Medium,3,High,3,Sales Executive,High,Single,9980,1,Y,No,14,High,Very_High,80,0,10,3,#N/D,10,NA,9,7
22,Yes,Travel_Frequently,Research & Development,4,Secondary,Technical Degree,1,593,High,NA,Medium,1,Laboratory Technician,Medium,Single,3894,5,Y,No,16,High,High,80,0,4,3,#N/D,2,NA,1,2
48,No,Travel_Rarely,Sales,2,University,Marketing,1,595,Medium,3,High,2,Sales Executive,High,Married,4051,2,Y,No,14,High,Low,80,1,14,2,#N/D,9,NA,6,7
55,No,Travel_Rarely,Sales,18,University,Life Sciences,1,597,Low,3,High,4,Manager,High,Single,16835,3,Y,No,23,Very_High,Very_High,80,0,37,2,#N/D,10,NA,7,7
41,No,Non-Travel,Sales,10,University,Life Sciences,1,599,Very_High,3,High,2,Sales Executive,High,Single,6230,7,Y,No,14,High,Very_High,80,0,16,3,#N/D,14,NA,1,10
35,No,Travel_Rarely,Sales,1,University,Marketing,1,600,Medium,3,High,2,Sales Executive,High,Married,4717,9,Y,No,11,High,High,80,0,15,2,#N/D,11,NA,6,9
40,No,Travel_Rarely,Research & Development,6,University,Life Sciences,1,601,Medium,3,High,4,Manufacturing Director,High,Single,13237,7,Y,No,15,High,High,80,0,22,3,High,20,NA,5,13
39,No,Travel_Frequently,Research & Development,8,University,Life Sciences,1,602,High,3,High,1,Laboratory Technician,High,Married,3755,1,Y,No,11,High,Low,80,1,8,3,High,8,NA,0,7
31,No,Travel_Rarely,Sales,2,University,Life Sciences,1,604,Medium,3,High,2,Sales Executive,High,Single,6582,4,Y,Yes,13,High,High,80,0,10,2,#N/D,6,3,0,5
42,No,Travel_Rarely,Research & Development,24,#N/D,Medical,1,605,Very_High,NA,High,3,Manufacturing Director,High,Married,7406,1,Y,Yes,21,Very_High,Very_High,80,1,10,5,#N/D,10,NA,5,8
45,No,Travel_Rarely,Sales,2,University,Other,1,606,Very_High,3,High,2,Sales Executive,High,Married,4805,0,Y,No,19,High,Medium,80,1,9,3,High,8,NA,3,7
26,Yes,Travel_Frequently,Human Resources,17,University,Life Sciences,1,608,Medium,NA,High,1,Human Resources,High,Divorced,2741,0,Y,Yes,11,High,Medium,80,1,8,2,High,7,NA,1,0
29,No,Travel_Rarely,Research & Development,19,University,Technical Degree,1,611,Very_High,3,High,2,Manufacturing Director,High,Divorced,4262,4,Y,No,12,High,Medium,80,2,8,2,#N/D,3,3,1,2
33,No,Travel_Rarely,Research & Development,1,Master,Medical,1,612,Low,4,Very_High,4,Research Director,Very_High,Divorced,16184,4,Y,No,19,High,High,80,1,10,2,#N/D,6,NA,0,5
31,No,Travel_Rarely,Sales,7,Secondary,Life Sciences,1,613,High,2,Medium,3,Manager,Medium,Divorced,11557,9,Y,No,21,Very_High,High,80,1,10,3,#N/D,5,2,0,1
18,Yes,Travel_Frequently,Sales,5,University,Marketing,1,614,Medium,3,High,1,Sales Representative,High,Single,1878,1,Y,Yes,14,High,Very_High,80,0,0,3,#N/D,0,NA,0,0
40,No,Non-Travel,Sales,28,#N/D,Other,1,615,High,1,Low,3,Sales Executive,Low,Divorced,10932,3,Y,No,15,High,High,80,1,20,2,#N/D,1,NA,0,1
41,No,Non-Travel,Research & Development,2,Secondary,Other,1,616,Low,2,Medium,2,Healthcare Representative,Medium,Single,6811,2,Y,Yes,17,High,Low,80,0,10,3,#N/D,8,NA,0,7
26,No,Travel_Rarely,Sales,29,University,Medical,1,618,Low,3,High,2,Sales Executive,High,Divorced,4306,5,Y,No,12,High,Low,80,2,8,5,#N/D,0,NA,0,0
35,No,Travel_Rarely,Sales,1,University,Medical,1,620,Low,3,High,2,Sales Executive,High,Single,4859,1,Y,No,16,High,Very_High,80,0,5,3,High,5,3,0,3
34,No,Travel_Rarely,Sales,21,Master,Life Sciences,1,621,Very_High,4,Very_High,2,Sales Executive,Very_High,Single,5337,1,Y,No,12,High,Very_High,80,0,10,3,Very_High,10,NA,5,7
26,Yes,Travel_Rarely,Research & Development,24,Primaria,Technical Degree,1,622,High,1,Low,1,Laboratory Technician,Low,Single,2340,1,Y,Yes,18,High,Medium,80,0,1,3,#N/D,1,NA,0,0
37,No,Travel_Rarely,Research & Development,1,University,Technical Degree,1,623,Medium,3,High,3,Manufacturing Director,High,Single,7491,4,Y,No,17,High,Very_High,80,0,12,3,High,6,NA,1,2
46,No,Travel_Frequently,Research & Development,18,University,Medical,1,624,Low,3,High,3,Healthcare Representative,#N/D,Married,10527,5,Y,No,11,High,Very_High,80,0,28,3,#N/D,2,NA,1,2
41,No,Travel_Rarely,Sales,2,#N/D,Life Sciences,1,625,Medium,3,High,4,Manager,High,Married,16595,7,Y,No,16,High,Medium,80,1,22,2,#N/D,18,NA,11,8
37,No,Non-Travel,Sales,9,University,Medical,1,626,Low,3,High,3,Sales Executive,High,Divorced,8834,1,Y,No,13,High,Very_High,80,1,9,6,#N/D,9,NA,7,7
52,No,Travel_Rarely,Research & Development,6,University,Technical Degree,1,630,Very_High,NA,High,2,Research Scientist,High,Divorced,5577,3,Y,Yes,12,High,Medium,80,2,18,3,High,10,NA,6,9
32,Yes,Non-Travel,Sales,11,Master,Other,1,631,Very_High,4,Very_High,2,Sales Executive,Very_High,Married,4707,8,Y,No,12,High,Very_High,80,0,6,2,#N/D,4,NA,1,2
24,No,Travel_Frequently,Sales,24,#N/D,Medical,1,632,Very_High,3,High,1,Sales Representative,High,Married,2400,0,Y,No,13,High,High,80,2,3,3,#N/D,2,NA,2,1
38,No,Travel_Rarely,Research & Development,10,University,Medical,1,634,High,3,High,2,Healthcare Representative,#N/D,Married,9824,3,Y,No,19,High,High,80,1,18,4,High,1,3,0,0
37,No,Travel_Rarely,Research & Development,1,University,Life Sciences,1,635,Medium,3,High,2,Manufacturing Director,High,Married,6447,6,Y,No,12,High,Medium,80,1,8,2,#N/D,6,NA,4,3
49,No,Travel_Rarely,Research & Development,18,Secondary,Life Sciences,1,638,Very_High,2,Medium,5,Research Director,Medium,Divorced,19502,1,Y,Yes,17,High,High,80,1,31,5,Medium,31,NA,0,9
24,No,Travel_Rarely,Research & Development,23,Master,Medical,1,639,Medium,4,Very_High,1,Research Scientist,Very_High,Married,2725,1,Y,Yes,11,High,Medium,80,2,6,3,Very_High,6,4,1,4
26,No,Travel_Rarely,Sales,28,University,Marketing,1,641,Low,3,High,2,Sales Executive,#N/D,Married,6272,1,Y,No,20,Very_High,Very_High,80,2,6,5,#N/D,5,NA,1,4
24,No,Travel_Rarely,Research & Development,17,Secondary,Other,1,643,Very_High,NA,Medium,1,Laboratory Technician,Medium,Married,2127,1,Y,No,21,Very_High,Very_High,80,1,1,2,#N/D,1,NA,0,0
50,No,Travel_Frequently,Human Resources,3,University,Medical,1,644,Low,3,High,5,Manager,#N/D,Married,18200,1,Y,No,11,High,High,80,1,32,2,High,32,3,10,7
25,No,Travel_Rarely,Sales,13,University,Medical,1,645,Medium,3,High,1,Sales Representative,High,Married,2096,1,Y,No,11,High,High,80,0,7,1,High,7,NA,0,6
24,Yes,Travel_Frequently,Research & Development,7,University,Life Sciences,1,647,Low,3,High,1,Laboratory Technician,High,Married,2886,1,Y,Yes,16,High,Very_High,80,1,6,4,#N/D,6,NA,1,2
30,Yes,Travel_Frequently,Sales,12,Secondary,Life Sciences,1,648,Medium,2,Medium,1,Sales Representative,Medium,Married,2033,1,Y,No,18,High,High,80,1,1,2,Medium,1,NA,0,0
34,No,Travel_Rarely,Research & Development,1,Secondary,Life Sciences,1,649,Medium,2,Medium,1,Research Scientist,#N/D,Married,3622,1,Y,Yes,13,High,Very_High,80,1,6,3,#N/D,6,NA,1,3
31,Yes,Travel_Rarely,Sales,13,University,Medical,1,650,Medium,3,High,2,Sales Executive,High,Divorced,4233,2,Y,No,17,High,High,80,0,9,2,#N/D,3,3,1,2
35,No,Travel_Rarely,Research & Development,25,#N/D,Other,1,652,Low,2,Medium,2,Laboratory Technician,Medium,Single,3681,4,Y,No,14,High,Very_High,80,0,9,3,#N/D,3,NA,0,2
31,No,Travel_Rarely,Sales,6,Master,Medical,1,653,Low,4,Very_High,2,Sales Executive,Very_High,Divorced,5460,4,Y,No,22,Very_High,Very_High,80,2,13,4,Very_High,7,NA,5,7
27,No,Travel_Rarely,Research & Development,6,Secondary,Medical,1,655,Low,2,Medium,1,Research Scientist,Medium,Divorced,2187,0,Y,No,12,High,High,80,2,6,5,#N/D,5,NA,0,3
37,No,Travel_Rarely,Sales,2,University,Marketing,1,656,Very_High,3,High,2,Sales Executive,High,Married,9602,4,Y,Yes,11,High,High,80,1,17,3,High,3,NA,1,0
20,No,Travel_Rarely,Research & Development,1,Secondary,Life Sciences,1,657,Very_High,2,Medium,1,Research Scientist,Medium,Single,2836,1,Y,No,13,High,Very_High,80,0,1,0,Medium,1,NA,0,0
42,No,Travel_Rarely,Research & Development,2,University,Life Sciences,1,659,High,3,High,2,Healthcare Representative,High,Married,4089,1,Y,No,13,High,Medium,80,2,10,4,#N/D,10,3,2,2
43,No,Travel_Rarely,Research & Development,6,Secondary,Other,1,661,Medium,2,Medium,4,Research Director,Medium,Divorced,16627,4,Y,Yes,14,High,High,80,1,21,3,#N/D,1,2,0,0
38,No,Travel_Rarely,Research & Development,1,University,Life Sciences,1,662,High,3,High,1,Research Scientist,High,Single,2619,3,Y,No,17,High,Very_High,80,0,8,3,#N/D,0,NA,0,0
43,No,Travel_Frequently,Research & Development,9,University,Medical,1,663,Very_High,3,High,2,Laboratory Technician,High,Divorced,5679,3,Y,Yes,13,High,Medium,80,1,10,3,#N/D,8,NA,4,7
48,No,Travel_Rarely,Research & Development,1,Secondary,Life Sciences,1,664,Very_High,2,Medium,4,Manager,Medium,Married,15402,7,Y,No,11,High,Low,80,1,21,3,#N/D,3,NA,0,2
44,No,Travel_Rarely,Human Resources,1,Secondary,Life Sciences,1,665,Low,2,Medium,2,Human Resources,Medium,Single,5985,4,Y,No,11,High,Medium,80,0,10,1,#N/D,2,NA,0,2
34,No,Travel_Rarely,Sales,14,University,Technical Degree,1,666,High,3,High,1,Sales Representative,High,Divorced,2579,1,Y,Yes,18,High,Very_High,80,2,8,3,High,8,NA,0,6
27,Yes,Travel_Rarely,Sales,2,University,Marketing,1,667,High,3,High,1,Sales Representative,High,Divorced,3041,0,Y,No,11,High,Medium,80,1,5,3,#N/D,4,NA,0,2
21,No,Travel_Rarely,Sales,22,University,Technical Degree,1,669,High,3,High,1,Sales Representative,High,Single,3447,1,Y,No,11,High,High,80,0,3,2,#N/D,3,NA,1,2
44,No,Travel_Rarely,Research & Development,3,University,Other,1,671,Very_High,3,High,5,Manager,High,Married,19513,4,Y,Yes,12,High,Low,80,1,26,2,#N/D,2,NA,0,1
22,No,Travel_Rarely,Research & Development,6,University,Medical,1,675,Low,3,High,1,Research Scientist,High,Married,2773,0,Y,No,20,Very_High,Very_High,80,0,3,3,#N/D,2,NA,2,2
33,No,Travel_Rarely,Sales,8,University,Marketing,1,677,High,3,High,2,Sales Executive,High,Divorced,7104,0,Y,No,12,High,Very_High,80,0,6,3,#N/D,5,NA,1,2
32,No,Travel_Rarely,Research & Development,9,University,Life Sciences,1,679,Low,3,High,2,Research Scientist,High,Married,6322,1,Y,Yes,12,High,Very_High,80,1,6,2,#N/D,6,NA,0,5
30,No,Travel_Frequently,Research & Development,3,University,Medical,1,680,High,NA,High,1,Research Scientist,High,Divorced,2083,1,Y,No,20,Very_High,High,80,1,1,2,High,1,NA,0,0
53,No,Travel_Rarely,Sales,1,University,Medical,1,682,Very_High,3,High,2,Sales Executive,High,Single,8381,7,Y,No,20,Very_High,Very_High,80,0,18,2,#N/D,14,NA,8,10
34,No,Travel_Rarely,Research & Development,1,University,Life Sciences,1,683,Medium,3,High,1,Research Scientist,#N/D,Married,2691,1,Y,No,12,High,Very_High,80,1,10,4,#N/D,10,NA,8,8
45,Yes,Travel_Frequently,Sales,26,University,Life Sciences,1,684,Low,NA,High,2,Sales Executive,High,Married,4286,2,Y,No,14,High,Very_High,80,2,5,4,High,1,NA,0,0
